taxon_name,int_midpoint,sub,size,taxon_name,is_extant,firstapp_max_ma,firstapp_min_ma,lastapp_max_ma,lastapp_min_ma,early_interval,late_interval,
Afilasma,365.55,art,27.73,Afilasma,extinct,379.5,376.1,379.5,376.1,Frasnian,,
Agarhyncha,415,art,7.647826087,Agarhyncha,extinct,430.5,427.4,425.6,423,Homerian,Ludlow,
Agelesia,284.7,art,12.145,Agelesia,extinct,279.3,272.3,272.3,268.8,Kungurian,Roadian,
Agerinella,136.35,art,4.32125,Agerinella,extinct,161.2,155.7,161.2,155.7,Oxfordian,Kimmeridgian,
Agramatia,365.55,art,14.48,Agramatia,extinct,388.1,383.7,372.2,358.9,Middle Devonian,Late Devonian,
Agulhasia,0.01,art,4.64,Agulhasia,extant,,,,,,,
Agyrekia,502.5,art,14.93,Agyrekia,extinct,516,513,516,513,Stage 3,Stage 4,
Ahtiella,468.65,art,36.65,Ahtiella,extinct,477.7,470,463.5,458.4,Floian,Middle Ordovician,
Aipyotreta,462.85,inart,0.7118,Aipyotreta,extinct,470,467.3,470,467.3,Dapingian,,
Airtonia,338.8,art,43.5,Airtonia,extinct,345.3,345,345.3,345,Visean,,
Akatchania,297.2,art,21.155,Akatchania,extinct,295.5,290.1,290.1,279.3,Sakmarian,Artinskian,
Akelina,481.55,art,8.4575,Akelina,extinct,485.4,477.7,485.4,477.7,Tremadocian,,
Akopovorhynchia,136.35,art,22.42,Akopovorhynchia,extinct,140.2,136.4,140.2,136.4,Berriasian,Valanginian,
Alabushevothyris,106.75,art,32.2,Alabushevothyris,extinct,112.03,105.3,112.03,105.3,Albian,,
Alaskospira,400.45,art,15.9,Alaskospira,extinct,443.4,433.4,407.6,393.3,Silurian,Early Devonian,
Alatiformia,390.5,art,36.85,Alatiformia,extinct,407.6,393.3,393.3,387.7,Emsian,Eifelian,
Alatoproductus,270.55,art,28.18666667,Alatoproductus,extinct,303.7,298.9,254.17,252.17,Gzhelian,Permian,
Aldanispirifer,415,art,21.62,Aldanispirifer,extinct,433.4,427.4,410.8,407.6,Wenlock,Pragian,
Aldanotreta,535,inart,8.892857143,Aldanotreta,extinct,541,530,530,520,Terreneuvian,Stage 3,
Aldina,275.8,art,7.406666667,Aldina,extinct,279.3,272.3,279.3,272.3,Kungurian,,
Aldingia,0.01,art,14.76666667,Aldingia,extant,41.3,38,23.03,20.44,Bartonian,Aquitanian,
Alekseevaella,390.5,art,8.61,Alekseevaella,extinct,,,,,,,
Alexenia,305.35,art,28.54,Alexenia,extinct,303.7,298.9,268.8,265.1,Gzhelian,Wordian,
Alichovia,455.7,inart,20.97647059,Alichovia,extinct,485.4,477.7,470,467.3,Early Ordovician,Dapingian,
Aliconchidium,424.3,art,43.95,Aliconchidium,extinct,,,,,,,
Alimbella,481.55,art,36.66,Alimbella,extinct,478.6,471.8,478.6,471.8,Tremadocian,Floian,
Alipunctifera,238.5,art,62.09,Alipunctifera,extinct,242,237,237,228,Ladinian,Carnian,
Aliquantula,31,art,27.49333333,Aliquantula,extinct,41.3,38,23.03,20.44,Bartonian,Aquitanian,
Alisina,502.5,art,5.97,Alisina,extinct,530,516,530,516,Terreneuvian,Stage 3,
Alispira,428.95,art,7.955,Alispira,extinct,443.4,440.8,433.4,427.4,Llandovery,Wenlock,
Alispirifer,327.05,art,48.71,Alispirifer,extinct,353.8,342.8,315.2,295.5,Carboniferous,Asselian,
Alispiriferella,262.5,art,32.44,Alispiriferella,extinct,298.9,295.5,259.9,254.17,Cisuralian,Wuchiapingian,
Alitaria,327.05,art,26.79333333,Alitaria,extinct,339.4,336,323.2,315.2,Visean,Bashkirian,
Allanella,377.45,art,33.17,Allanella,extinct,393.3,383.7,382.7,372.2,Middle Devonian,Frasnian,
Allanetes,400.45,art,21.375,Allanetes,extinct,410.8,407.6,407.6,393.3,Pragian,Emsian,
Allorhynchoides,365.55,art,5.693333333,Allorhynchoides,extinct,372.2,358.9,372.2,358.9,Famennian,,
