taxon_name,int_midpoint,sub,size,taxon_name,is_extant,firstapp_max_ma,firstapp_min_ma,lastapp_max_ma,lastapp_min_ma,early_interval,late_interval,
Dorytreta,449.1,art,3.73,Dorytreta,extinct,468.1,460.9,445.2,443.4,Middle Ordovician,Late Ordovician,
Douvillina,377.45,art,22.75333333,Douvillina,extinct,443.4,433.4,376.1,358.9,Silurian,Devonian,
Douvillinaria,377.45,art,11.84,Douvillinaria,extinct,383.7,382.4,379.5,372.2,Givetian,Frasnian,
Douvillinella,377.45,art,18.27333333,Douvillinella,extinct,409.1,402.5,387.7,382.7,Pragian,Middle Devonian,
Douvillinoides,377.45,art,34.3,Douvillinoides,extinct,,,,,,,
Dowhatania,311.1,art,58.76,Dowhatania,extinct,323.2,315.2,315.2,303.7,Bashkirian,Kasimovian,
Drabodiscina,449.1,inart,34.49166667,Drabodiscina,extinct,,,,,,,
Draborthis,435.95,art,6.296,Draborthis,extinct,455.8,449.5,445.2,443.4,Late Ordovician,Hirnantian,
Drabovia,449.1,art,24.66666667,Drabovia,extinct,460.9,457.5,433.4,430.5,Darriwilian,Sheinwoodian,minor ribbing
Drabovinella,449.1,art,19.38636364,Drabovinella,extinct,478.6,466,457.5,449.5,Early Ordovician,Katian,minor ribbing
Dracius,69.05,art,3.397777778,Dracius,extinct,83.5,70.6,70.6,66,Campanian,Maastrichtian,
Drahanorhynchus,319.2,art,7.756666667,Drahanorhynchus,extinct,345.3,336,339.4,336,Visean,,
Drahanostrophia,385.2,art,7.085714286,Drahanostrophia,extinct,419.2,410.8,402.5,391.9,Early Devonian,Eifelian,
Drepanorhyncha,455.7,art,11.55,Drepanorhyncha,extinct,460.9,455.8,455.8,449.5,Darriwilian,Katian,
Droharhynchia,385.2,art,17.99,Droharhynchia,extinct,393.3,387.7,387.7,382.7,Middle Devonian,,
Druganirhynchia,172.2,art,23.88,Druganirhynchia,extinct,175.6,171.6,171.6,168.4,Toarcian,Bajocian,
Drummuckina,449.1,art,25.65333333,Drummuckina,extinct,449.5,445.6,449.5,443.7,Katian,Hirnantian,
Duartea,292.8,art,32.29,Duartea,extinct,315.2,307,313.8,305.9,Moscovian,Kasimovian,
Dubioleptina,428.95,art,13.275,Dubioleptina,extinct,433.4,430.5,430.5,427.4,Wenlock,,
Dubovikovia,409.2,inart,12.27,Dubovikovia,extinct,419.2,410.8,410.8,407.6,Lochkovian,Pragian,
Dulankarella,449.1,art,21.22,Dulankarella,extinct,467.3,458.4,453,445.2,Darriwilian,Katian,
Duryeella,390.5,art,38.49,Duryeella,extinct,,,,,,,
Dushanirhynchia,390.5,art,16.635,Dushanirhynchia,extinct,,,,,,,
Dyoros,262.5,art,18.505,Dyoros,extinct,295.5,290.1,259.9,254.17,Sakmarian,Wuchiapingian,
Dyschrestia,284.7,art,14.66,Dyschrestia,extinct,323.2,315.2,272.3,268.8,Pennsylvanian,Roadian,
Dyscolia,0.01,art,63.99,Dyscolia,extant,2.588,1.806,2.588,1.806,Gelasian,,
Dyscritothyris,69.05,art,10.53,Dyscritothyris,extinct,100.5,66,72.1,66,Late Cretaceous,,
Dysoristus,495.5,inart,1.575,Dysoristus,extinct,501,494,497,485.4,Drumian,Furongian,
Dysprosorthis,449.1,art,6.68375,Dysprosorthis,extinct,449.5,443.4,445.2,443.4,Katian,Hirnantian,
Dyticospirifer,409.2,art,28.12,Dyticospirifer,extinct,416,393.3,407.6,391.9,Early Devonian,Eifelian,
Dzhebaglina,449.1,art,16.085,Dzhebaglina,extinct,460.9,449.5,460.9,449.5,Darriwilian,Katian,
Dzieduszyckia,365.55,art,37.8,Dzieduszyckia,extinct,372.2,358.9,372.2,358.9,Famennian,,
Dzirulina,106.75,art,21.26,Dzirulina,extinct,122.46,112.03,112.03,100.5,Aptian,Albian,
Eatonia,409.2,art,35.59,Eatonia,extinct,443.4,419.2,407.6,391.9,Silurian,Eifelian,
Eatonioides,424.3,art,28.425,Eatonioides,extinct,,,,,,,
Eccentricosta,421.1,art,18.88666667,Eccentricosta,extinct,423,419.2,419.2,393.3,Pridoli,Early Devonian,
Echinalosia,257.05,art,25.075,Echinalosia,extinct,290.1,279.3,254.17,252.17,Artinskian,Lopingian,
Echinaria,270.55,art,59.79,Echinaria,extinct,323.2,315.2,290.1,279.3,Pennsylvanian,Artinskian,
Echinauriella,262.5,art,15.2,Echinauriella,extinct,279.3,272.3,254.17,252.17,Kungurian,Lopingian,
Echinauris,262.5,art,23.63333333,Echinauris,extinct,315.2,307,254.17,252.17,Moscovian,Permian,
Echinoconchella,327.05,art,14.215,Echinoconchella,extinct,345.3,342.8,318.1,305.9,Visean,Kasimovian,
Echinoconchus,319.2,art,56.59,Echinoconchus,extinct,382.7,372.2,259.9,254.17,Late Devonian,Wuchiapingian,
Echinospirifer,377.45,art,33.71,Echinospirifer,extinct,,,,,,,
Echinosteges,262.5,art,41.39,Echinosteges,extinct,298.9,295.5,259.9,254.17,Cisuralian,Wuchiapingian,
Echyrosia,169.3,art,23.53,Echyrosia,extinct,170.3,168.3,170.3,168.3,Bajocian,,
Ectenoglossa,455.7,inart,43.15833333,Ectenoglossa,extinct,485.4,477.7,449.5,443.7,Early Ordovician,Ordovician,
Ectochoristites,352.8,art,39.23,Ectochoristites,extinct,358.9,353.8,346.7,330.9,Tournaisian,Visean,
Ectoposia,266.95,art,28.07,Ectoposia,extinct,272.3,268.8,268.8,265.1,Roadian,Wordian,
Ectorensselandia,385.2,art,61.22,Ectorensselandia,extinct,387.7,382.7,387.7,382.7,Givetian,,
Ectyphoria,164.8,art,26.22,Ectyphoria,extinct,196.5,189.6,155.7,150.8,Sinemurian,Late Jurassic,
Edreja,517.5,inart,3.354216868,Edreja,extinct,520,513,520,513,Stage 3,Stage 4,
Edriosteges,257.05,art,45.62,Edriosteges,extinct,295.5,290.1,254.17,252.17,Sakmarian,Lopingian,
Ehlersella,435.95,art,56.21,Ehlersella,extinct,440.8,438.5,438.5,433.4,Aeronian,Telychian,
Eichwaldia,455.7,art,15.4,Eichwaldia,extinct,453,445.2,453,445.2,Katian,,
Eifelatrypa,385.2,art,32.86,Eifelatrypa,extinct,,,,,,,
Eifyris,390.5,art,21.04,Eifyris,extinct,,,,,,,
Elasmata,257.05,art,41.16,Elasmata,extinct,298.9,295.5,290.1,279.3,Asselian,Artinskian,
Elasmothyris,449.1,art,1.504,Elasmothyris,extinct,466,457.5,449.5,443.7,Darriwilian,Late Ordovician,
Elassonia,275.8,art,3.146666667,Elassonia,extinct,315.2,307,272.3,268.8,Moscovian,Roadian,
Elderra,12.72,art,26.84666667,Elderra,extinct,13.82,11.62,13.82,11.62,Serravallian,,
Elegesta,428.95,art,22.58,Elegesta,extinct,433.4,427.4,433.4,427.4,Wenlock,,
Eliorhynchus,385.2,art,20.32,Eliorhynchus,extinct,393.3,382.7,393.3,382.7,Middle Devonian,,
Elita,365.55,art,33.67,Elita,extinct,423,410.8,379.5,372.2,Pridoli,Frasnian,
Eliva,257.05,art,46,Eliva,extinct,303.7,298.9,254.17,252.17,Gzhelian,Permian,
Elivella,292.8,art,14.5,Elivella,extinct,298.9,295.5,295.5,290.1,Asselian,Sakmarian,
Elivina,262.5,art,33.41,Elivina,extinct,307,303.7,254.17,252.17,Kasimovian,Permian,
Elkanisca,473.85,inart,10.56190476,Elkanisca,extinct,485.4,477.7,485.4,477.7,Tremadocian,,
Ella,257.05,art,19.97,Ella,extinct,298.9,295.5,254.17,252.17,Permian,,
Elliottella,284.7,art,21.35,Elliottella,extinct,295.5,290.1,279.3,272.3,Sakmarian,Kungurian,
Elliptoglossa,449.1,inart,2.944642857,Elliptoglossa,extinct,485.4,477.7,449.5,443.7,Early Ordovician,Ordovician,minor ribbing
Elmaria,385.2,art,24.95,Elmaria,extinct,,,,,,,
Elsaella,449.1,inart,9.168085106,Elsaella,extinct,449.5,445.6,445.6,443.7,Katian,Hirnantian,
Elymospirifer,400.45,art,38.92,Elymospirifer,extinct,409.1,402.5,409.1,402.5,Pragian,Emsian,
Elythyna,385.2,art,51.6,Elythyna,extinct,410.8,402.5,393.3,387.7,Pragian,Eifelian,
Emanuella,377.45,art,10.01,Emanuella,extinct,393.3,387.7,379.5,358.9,Middle Devonian,Late Devonian,
Enallosia,292.8,art,19,Enallosia,extinct,295.5,290.1,279.3,272.3,Sakmarian,Kungurian,
Enallothecidea,160.4,art,0.5286,Enallothecidea,extinct,175.6,171.6,161.2,155.7,Toarcian,Kimmeridgian,
Enantiosphen,385.2,art,108.62,Enantiosphen,extinct,388.1,383.7,388.1,383.7,Eifelian,Givetian,
Enantiosphenella,385.2,art,38.36,Enantiosphenella,extinct,393.3,387.7,387.7,382.7,Middle Devonian,,
Enchondrospirifer,365.55,art,36.28,Enchondrospirifer,extinct,,,,,,,
Endospirifer,428.95,art,4.91,Endospirifer,extinct,433.4,427.4,433.4,427.4,Wenlock,,
Endrea,424.3,art,27.645,Endrea,extinct,,,,,,,
Enigmalosia,257.05,art,6.3825,Enigmalosia,extinct,,,,,,,
Entacanthadus,275.8,art,13.045,Entacanthadus,extinct,272.3,268.8,265.1,259.9,Guadalupian,,
Enteletes,257.05,art,35.68,Enteletes,extinct,318.1,314.6,254.17,252.17,Pennsylvanian,Permian,
Eoamphistrophia,435.95,art,12.908,Eoamphistrophia,extinct,443.4,439,439,428.2,Llandovery,Wenlock,
Eoanastrophia,449.1,art,19.37,Eoanastrophia,extinct,467.3,453,449.5,443.7,Darriwilian,Late Ordovician,
Eobiernatella,377.45,art,9.38,Eobiernatella,extinct,,,,,,,
Eobrachythyrina,327.05,art,50.37,Eobrachythyrina,extinct,,,,,,,
Eobrachythyris,365.55,art,20.78,Eobrachythyris,extinct,382.7,370.6,372.2,358.9,Late Devonian,,
Eochonetes,435.95,art,7.504,Eochonetes,extinct,460.9,452,445.2,443.4,Darriwilian,Late Ordovician,minor ribbing
Eochoristitella,352.8,art,19.3,Eochoristitella,extinct,,,,,,,
Eochoristites,338.8,art,32.24,Eochoristites,extinct,372.2,346.7,358.9,346.7,Famennian,Tournaisian,
Eocoelia,428.95,art,8.21,Eocoelia,extinct,443.4,440.8,428.2,419.2,Silurian,,major ribbing
Eoconcha,502.5,art,19.02,Eoconcha,extinct,513,505,513,505,Stage 4,Stage 5,
Eoconchidium,449.1,art,11.54,Eoconchidium,extinct,460.9,449.5,449.5,443.7,Darriwilian,Late Ordovician,
Eoconulus,449.1,inart,1.59375,Eoconulus,extinct,485.4,484.5,70.6,66,Ordovician,Mesozoic,
Eocramatia,468.65,art,7.95862069,Eocramatia,extinct,466,463.5,466,463.5,Darriwilian,,
Eocymostrophia,435.95,inart,24.61,Eocymostrophia,extinct,,,,,,,
Eodallina,204.9,art,7.2525,Eodallina,extinct,228,212,215.56,201.3,Norian,Rhaetian,
Eodalmanella,468.65,art,10.8902439,Eodalmanella,extinct,478.6,466,457.5,449.5,Early Ordovician,Katian,minor ribbing
Eodevonaria,390.5,art,23.39,Eodevonaria,extinct,419.2,410.8,382.7,358.9,Devonian,,
Eodicellomus,517.5,inart,4.318888889,Eodicellomus,extinct,516,513,516,513,Stage 3,Stage 4,
Eodictyonella,385.2,art,14.06,Eodictyonella,extinct,460.9,449.5,409.1,391.9,Darriwilian,Eifelian,minor ribbing
Eodinobolus,449.1,inart,30.23333333,Eodinobolus,extinct,460.9,455.8,445.2,443.4,Darriwilian,Late Ordovician,
Eodiorthelasma,473.85,art,5.888,Eodiorthelasma,extinct,478.6,468.1,467.3,458.4,Early Ordovician,Middle Ordovician,
Eoglossinotoechia,400.45,art,12.64,Eoglossinotoechia,extinct,419.2,410.8,407.6,387.7,Early Devonian,Eifelian,
Eogryphus,51.9,art,40.47,Eogryphus,extinct,66,56,47.8,41.3,Paleocene,Lutetian,
Eohemithyris,0.01,art,12.91,Eohemithyris,extant,86.3,83.6,28.1,23.03,Santonian,Paleogene,
Eohowellella,424.3,art,13.11,Eohowellella,extinct,438.5,433.4,427.4,423,Telychian,Ludlow,
Eokarpinskia,415,art,10.08,Eokarpinskia,extinct,,,,,,,
Eokirkidium,424.3,art,74.38,Eokirkidium,extinct,427.4,423,427.4,423,Ludlow,,
Eolaballa,253.2,art,20.18,Eolaballa,extinct,254.17,252.17,254.17,252.17,Changhsingian,,
Eolacazella,69.05,art,2.485,Eolacazella,extinct,70.6,66,70.6,66,Maastrichtian,,
Eolissochonetes,284.7,art,15.81,Eolissochonetes,extinct,339.4,326.4,268.8,265.1,Visean,Wordian,
Eolyttonia,262.5,art,45.84,Eolyttonia,extinct,323.2,298.9,254.17,252.17,Pennsylvanian,Permian,
Eomaoristrophia,424.3,art,30.695,Eomaoristrophia,extinct,427.4,423,427.4,423,Ludlow,,
Eomarginifera,305.35,art,16.06,Eomarginifera,extinct,358.9,346.7,254.17,252.17,Carboniferous,Permian,
Eomarginiferina,311.1,art,9.536666667,Eomarginiferina,extinct,323.2,307,323.2,307,Bashkirian,Moscovian,
Eomartiniopsis,338.8,art,22.52,Eomartiniopsis,extinct,433.4,427.4,353.8,345.3,Wenlock,Visean,
Eomegastrophia,428.95,art,41.85,Eomegastrophia,extinct,440.8,438.5,438.5,427.4,Aeronian,Wenlock,
Eoobolus,502.5,inart,8.50952381,Eoobolus,extinct,541,516,513,501,Terreneuvian,Drumian,minor ribbing
Eoorthis,481.55,art,11,Eoorthis,extinct,501,498.5,466,458.4,Drumian,Middle Ordovician,minor ribbing
Eoparaphorhynchus,365.55,art,23.46,Eoparaphorhynchus,extinct,382.7,372.2,372.2,358.9,Late Devonian,,
Eopholidostrophia,435.95,art,8.306666667,Eopholidostrophia,extinct,455.8,445.6,439,428.2,Late Ordovician,Wenlock,minor spines
Eoplectodonta,424.3,art,18.14444444,Eoplectodonta,extinct,460.9,457.5,426.2,419.2,Darriwilian,Silurian,minor ribbing
Eoplicanoplia,421.1,art,6.1625,Eoplicanoplia,extinct,427.4,425.6,423,419.2,Ludlow,Pridoli,
Eoplicoplasia,409.2,art,14.78,Eoplicoplasia,extinct,,,,,,,
Eoproductella,400.45,art,18.32,Eoproductella,extinct,409.1,402.5,409.1,402.5,Pragian,Emsian,
Eopugnax,400.45,art,10.12,Eopugnax,extinct,,,,,,,
Eoreticularia,377.45,art,20.05,Eoreticularia,extinct,433.4,427.4,387.7,382.7,Wenlock,Middle Devonian,
Eorhipidomella,455.7,art,10.87575758,Eorhipidomella,extinct,468.1,457.5,460.9,449.5,Middle Ordovician,Katian,
Eoscaphelasma,495.5,inart,1.144363636,Eoscaphelasma,extinct,498.5,485.4,485.4,477.7,Guzhangian,Tremadocian,
Eoschuchertella,377.45,art,35.56666667,Eoschuchertella,extinct,419.2,410.8,376.1,370.6,Early Devonian,Devonian,
Eosiphonotreta,462.85,inart,12.02758621,Eosiphonotreta,extinct,485.4,484.5,468.1,463.5,Early Ordovician,Middle Ordovician,
Eosophragmophora,400.45,art,10.272,Eosophragmophora,extinct,409.1,402.5,407.6,391.9,Pragian,Eifelian,
Eosotrematorthis,473.85,art,12.96,Eosotrematorthis,extinct,485.4,477.7,478.6,466,Early Ordovician,Middle Ordovician,
Eospinatrypa,421.1,art,14.91,Eospinatrypa,extinct,443.4,433.4,426.2,419.2,Silurian,,
Eospirifer,390.5,art,32.46,Eospirifer,extinct,466,460.9,393.3,387.7,Darriwilian,Eifelian,
Eospiriferina,390.5,art,26.16,Eospiriferina,extinct,410.8,407.6,393.3,387.7,Pragian,Eifelian,
Eospirigerina,435.95,art,13,Eospirigerina,extinct,460.9,452,433.4,427.4,Darriwilian,Wenlock,major ribbing
Eostrophalosia,377.45,art,15.01,Eostrophalosia,extinct,387.7,382.7,382.7,372.2,Givetian,Frasnian,
Eostropheodonta,428.95,art,40.07,Eostropheodonta,extinct,460.9,455.8,427.4,423,Darriwilian,Ludlow,minor ribbing
Eostrophomena,481.55,art,15.33,Eostrophomena,extinct,485.4,477.7,485.4,477.7,Tremadocian,,
Eostrophonella,435.95,art,32.69,Eostrophonella,extinct,455.8,445.6,438.5,433.4,Late Ordovician,Llandovery,
Eosyringothyris,377.45,art,30.36,Eosyringothyris,extinct,393.3,383.7,387.7,372.2,Middle Devonian,Frasnian,
Eothecidellina,96.9,art,2.5825,Eothecidellina,extinct,,,,,,,
Eothele,502.5,inart,1.589903846,Eothele,extinct,530,513,513,501,Terreneuvian,Drumian,
Epelidoaegiria,424.3,art,8.945,Epelidoaegiria,extinct,433.4,427.4,425.6,423,Wenlock,Ludlow,
Ephippelasma,449.1,inart,0.746522782,Ephippelasma,extinct,466,460.9,449.5,445.2,Darriwilian,Katian,
Epicelia,253.2,art,6.266666667,Epicelia,extinct,259.9,254.17,259.9,254.17,Wuchiapingian,,
Epicyrta,186.75,art,32.72,Epicyrta,extinct,,,,,,,
Epithyris,167.2,art,38.73,Epithyris,extinct,175.6,171.6,166.1,163.5,Toarcian,Middle Jurassic,
Epitomyonia,424.3,art,6.576666667,Epitomyonia,extinct,455.8,445.6,426.2,423,Late Ordovician,Ludlow,"minor folds, major ribbing"
Erectocephalus,385.2,art,98.45,Erectocephalus,extinct,,,,,,,
Eremotoechia,455.7,art,22.28,Eremotoechia,extinct,478.6,466,460.9,449.5,Early Ordovician,Katian,
Eremotrema,449.1,art,10.83,Eremotrema,extinct,470,458.4,449.5,445.6,Middle Ordovician,Katian,minor ribbing
Ericiatia,338.8,art,40.32,Ericiatia,extinct,,,,,,,
Eridmatus,297.2,art,35.09,Eridmatus,extinct,305.9,303.4,272.3,265.1,Kasimovian,Wordian,
Eridorthis,428.95,art,15.65333333,Eridorthis,extinct,470,453,443.4,438.5,Middle Ordovician,Aeronian,minor ribbing
Erihadrosia,12.72,inart,85,Erihadrosia,extinct,19,12.7,13.65,11.608,Burdigalian,Tortonian,
Eripnifera,449.1,art,7.565714286,Eripnifera,extinct,449.5,443.7,449.5,443.7,Katian,Hirnantian,
Eristenosia,154.7,art,18.59,Eristenosia,extinct,157.3,152.1,157.3,152.1,Kimmeridgian,,
Errhynx,390.5,art,15.84333333,Errhynx,extinct,393.3,387.7,393.3,387.7,Eifelian,,
Erymnaria,35.95,art,14.22,Erymnaria,extinct,100.5,93.9,56,33.9,Late Cretaceous,Eocene,
Esilia,455.7,art,15.575,Esilia,extinct,,,,,,,
Espella,428.95,art,30.9,Espella,extinct,,,,,,,
Estlandia,455.7,art,23.63,Estlandia,extinct,468.1,463.5,457.5,449.5,Middle Ordovician,Katian,
Estonirhynchia,424.3,art,10.06333333,Estonirhynchia,extinct,433.4,430.5,428.2,426.2,Wenlock,Gorstian,
Etheridgina,338.8,art,3.06,Etheridgina,extinct,336,326.4,336,326.4,Visean,Serpukhovian,
Etherilosia,284.7,art,13.440625,Etherilosia,extinct,295.5,290.1,259.9,254.17,Sakmarian,Wuchiapingian,
Etymothyris,400.45,art,61.44,Etymothyris,extinct,419.2,393.3,407.6,391.9,Early Devonian,Eifelian,
Eucalathis,0.01,art,7.385,Eucalathis,extant,83.6,72.1,3.6,2.588,Campanian,Neogene,
Eucharitina,400.45,art,29.06,Eucharitina,extinct,416,407.6,409.1,393.3,Early Devonian,Emsian,
Eudesella,178.4,art,11.0475,Eudesella,extinct,,,,,,,
Eudesia,127.2,art,32.89,Eudesia,extinct,174.1,168.3,164.7,161.2,Middle Jurassic,Oxfordian,
Eudoxina,352.8,art,47.3,Eudoxina,extinct,358.9,346.7,358.9,346.7,Tournaisian,,
Euidothyris,169.3,art,38.03,Euidothyris,extinct,175.6,171.6,170.3,167.7,Toarcian,Bathonian,
Eumetabolotoechia,385.2,art,26.54,Eumetabolotoechia,extinct,393.3,383.7,382.7,372.2,Middle Devonian,Frasnian,
Eumetria,319.2,art,20.26,Eumetria,extinct,388.1,383.7,318.1,314.6,Middle Devonian,Moscovian,
Euorthisina,468.65,art,21.61111111,Euorthisina,extinct,485.4,477.7,466,458.4,Early Ordovician,Middle Ordovician,minor ribbing
Euractinella,231.5,art,8.885,Euractinella,extinct,237,232,232,221.5,Carnian,Norian,
Eurekaspirifer,400.45,art,40.38,Eurekaspirifer,extinct,407.6,393.3,407.6,393.3,Emsian,,
Eurycolporhynchus,385.2,art,20.39,Eurycolporhynchus,extinct,,,,,,,
Eurysites,164.8,art,16.04666667,Eurysites,extinct,170.3,166.1,164.7,161.2,Bajocian,Oxfordian,
Euryspirifer,385.2,art,64.24,Euryspirifer,extinct,410.8,407.6,383.7,382.4,Pragian,Frasnian,
Eurythyris,409.2,art,25.9,Eurythyris,extinct,,,,,,,
Eurytreta,468.65,inart,2.928703704,Eurytreta,extinct,501,485.4,460.9,449.5,Drumian,Katian,
Euxinella,204.9,art,21.29,Euxinella,extinct,237,228,208.5,201.3,Late Triassic,,
Evanescirostrum,365.55,art,24.05,Evanescirostrum,extinct,382.7,370.6,370.6,358.9,Late Devonian,,
Evanidisinurostrum,365.55,art,21.31,Evanidisinurostrum,extinct,379.5,376.1,379.5,376.1,Frasnian,,
Evenkina,455.7,art,13.63333333,Evenkina,extinct,467.3,460.9,458.4,445.2,Darriwilian,Katian,
Evenkorhynchia,449.1,art,13.535,Evenkorhynchia,extinct,460.9,449.5,460.9,449.5,Darriwilian,Katian,
Excavatorhynchia,231.5,art,11.00666667,Excavatorhynchia,extinct,237,228,228,208.5,Carnian,Norian,
Exlaminella,311.1,art,8.96,Exlaminella,extinct,323.2,307,315.2,307,Bashkirian,Moscovian,
Expellobolus,473.85,inart,15.88095238,Expellobolus,extinct,485.4,477.7,463.5,460.9,Early Ordovician,Middle Ordovician,
Faksethyris,63.8,art,2.438,Faksethyris,extinct,,,,,,,
Falafer,253.2,art,5.016666667,Falafer,extinct,259.9,254.17,254.17,252.17,Lopingian,,
Falsatrypa,390.5,art,10.285,Falsatrypa,extinct,409.1,391.9,409.1,391.9,Pragian,Eifelian,
Famatinorthis,455.7,art,30.74,Famatinorthis,extinct,478.6,468.1,460.9,449.5,Early Ordovician,Katian,
Fardenia,435.95,art,13.84857143,Fardenia,extinct,460.9,453,423,419.2,Darriwilian,Silurian,minor ribbing
Farmerella,284.7,art,41.99,Farmerella,extinct,290.1,279.3,279.3,272.3,Artinskian,Kungurian,
Fascicosta,262.5,art,10.42,Fascicosta,extinct,279.3,272.3,265.1,259.9,Kungurian,Guadalupian,
Fascicostella,390.5,art,17,Fascicostella,extinct,427.4,423,410.8,402.5,Ludlow,Early Devonian,
Fasciculina,473.85,art,8.6,Fasciculina,extinct,,,,,,,
Fascifera,435.95,art,16.095,Fascifera,extinct,460.9,457.5,443.4,433.4,Darriwilian,Llandovery,minor ribbing
Fascistropheodonta,390.5,art,33.36666667,Fascistropheodonta,extinct,419.2,410.8,419.2,410.8,Lochkovian,,
Fascizetina,400.45,art,17.35714286,Fascizetina,extinct,410.8,407.6,410.8,407.6,Pragian,,
Felinotoechia,400.45,art,20.8,Felinotoechia,extinct,423,419.2,410.8,407.6,Pridoli,Pragian,
Fenestrirostra,435.95,art,23.2875,Fenestrirostra,extant,443.4,440.8,438.5,433.4,Llandovery,,
Fengzuella,449.1,inart,15.53,Fengzuella,extinct,449.5,443.7,449.5,443.7,Katian,Hirnantian,
Fenxiangella,473.85,art,6.8675,Fenxiangella,extinct,477.7,470,477.7,470,Floian,,
Ferganella,409.2,art,6.416,Ferganella,extinct,443.4,438.5,409.1,402.5,Silurian,Early Devonian,minor ribbing
Ferganoproductus,327.05,art,44.69,Ferganoproductus,extinct,346.7,330.9,346.7,330.9,Visean,,
Fernglenia,352.8,art,35.36,Fernglenia,extinct,358.9,346.7,358.9,346.7,Tournaisian,,
Ferrax,473.85,art,12.78684211,Ferrax,extinct,478.6,466,478.6,466,Early Ordovician,Middle Ordovician,
Ferrobolus,481.55,inart,7.467164179,Ferrobolus,extinct,485.4,477.7,485.4,477.7,Tremadocian,,
Ferrythyris,167.2,art,23.82,Ferrythyris,extinct,183,175.6,164.7,161.2,Pliensbachian,Oxfordian,
Fezzanoglossa,455.7,inart,22.45714286,Fezzanoglossa,extinct,460.9,449.5,460.9,449.5,Darriwilian,Katian,
Ffynnonia,468.65,art,17.355,Ffynnonia,extinct,478.6,468.1,478.6,466,Early Ordovician,Middle Ordovician,
Fidespirifer,377.45,art,12.81,Fidespirifer,extinct,,,,,,,
Filiconcha,262.5,art,29.35,Filiconcha,extinct,290.1,279.3,259.9,254.17,Artinskian,Wuchiapingian,
Filigreenia,400.45,art,12.264,Filigreenia,extinct,409.1,402.5,409.1,402.5,Pragian,Emsian,
Filispirifer,400.45,art,69.41428571,Filispirifer,extinct,409.1,402.5,409.1,402.5,Pragian,Emsian,
Fimbrinia,284.7,art,12.565,Fimbrinia,extinct,315.2,307,279.3,272.3,Moscovian,Cisuralian,
Fimbriothyris,186.75,art,26.58,Fimbriothyris,extinct,199.3,190.8,189.6,182.7,Sinemurian,Pliensbachian,
Fimbrispirifer,385.2,art,41.54,Fimbrispirifer,extinct,419.2,407.6,387.7,382.7,Early Devonian,Middle Devonian,
Fissirhynchia,186.75,art,20.23076923,Fissirhynchia,extinct,232,221.5,180.1,174.1,Late Triassic,Early Jurassic,
Fistulogonites,455.7,art,5.9325,Fistulogonites,extinct,467.3,458.4,467.3,458.4,Darriwilian,,
Fitzroyella,292.8,art,5.66,Fitzroyella,extinct,388.1,383.7,383.7,372.2,Middle Devonian,Frasnian,
Flabellirhynchia,167.2,art,19.6,Flabellirhynchia,extinct,174.1,170.3,166.1,163.5,Middle Jurassic,,
Flabellitesia,428.95,art,13.13,Flabellitesia,extinct,443.4,438.5,426.2,425.4,Llandovery,Ludlow,major ribbing
Flabellocyrtia,238.5,art,6.48,Flabellocyrtia,extinct,242,235,242,235,Ladinian,Carnian,
Flabellothyris,164.8,art,13.335,Flabellothyris,extinct,183,182,164.7,161.2,Pliensbachian,Oxfordian,
Flabellulirostrum,377.45,art,15.77,Flabellulirostrum,extinct,383.7,382.4,383.7,382.4,Givetian,Frasnian,
Fletcherithyris,244.6,art,27.59,Fletcherithyris,extinct,295.5,290.1,237,228,Sakmarian,Carnian,
Flexaria,327.05,art,29.49,Flexaria,extinct,353.8,342.8,318.1,314.6,Mississippian,Moscovian,
Floweria,377.45,art,16.53,Floweria,extinct,419.2,410.8,358.9,323.2,Devonian,Mississippian,
Fluctuaria,311.1,art,23.81,Fluctuaria,extinct,358.9,346.7,259.9,252.17,Carboniferous,Permian,
Foliomena,449.1,art,12.295,Foliomena,extinct,467.3,460.9,443.4,433.4,Darriwilian,Llandovery,
Fortunella,119,art,19.14,Fortunella,extinct,163.5,157.3,122.46,112.03,Late Jurassic,Early Cretaceous,
Fossatrypa,390.5,art,9.27,Fossatrypa,extinct,419.2,402.5,407.6,393.3,Early Devonian,,
Fossuliella,495.5,inart,2.692,Fossuliella,extinct,505,501,501,485.4,Series 3,Furongian,
Foveola,473.85,inart,9.8,Foveola,extinct,484.5,471.8,453,445.2,Early Ordovician,Katian,
Frankiella,390.5,art,12.29666667,Frankiella,extinct,,,,,,,
Frechella,327.05,art,55.04,Frechella,extinct,346.7,339.4,345,330.9,Visean,,
Fredericksolasma,270.55,art,22.5,Fredericksolasma,extinct,298.9,295.5,254.17,252.17,Permian,,
Fulcriphoria,400.45,art,34.50769231,Fulcriphoria,extinct,419.2,410.8,419.2,410.8,Lochkovian,,
Furcirhynchia,178.4,art,22.19333333,Furcirhynchia,extinct,201.3,199.3,164.7,161.2,Early Jurassic,Oxfordian,
Furcitella,435.95,art,14.23,Furcitella,extinct,460.9,455.8,445.2,443.4,Darriwilian,Late Ordovician,
Fusella,327.05,art,43.8,Fusella,extinct,364.7,360.7,336,326.4,Famennian,Mississippian,
Fusichonetes,251.7,art,5.5125,Fusichonetes,extinct,298.9,272.3,252.17,251.3,Permian,Induan,
Fusiproductus,257.05,art,24.97,Fusiproductus,extinct,259.9,254.17,254.17,252.17,Lopingian,,
